STATUS | wrapper  | 2015/08/19 10:49:15 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2015/08/19 10:49:15 | Launching a JVM...
2015.08.19 10:49:19 INFO  o.s.s.p.PluginDeployer  Deploy plugin Java / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
2015.08.19 10:49:19 INFO  o.s.s.p.PluginDeployer  Deploy plugin Maven Batch Plugin / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2015.08.19 10:49:19 INFO  o.s.s.p.PluginDeployer  Deploy plugin Duplications / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2015.08.19 10:49:19 INFO  o.s.s.p.PluginDeployer  Deploy plugin Design / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2015.08.19 10:49:19 INFO  o.s.s.p.PluginDeployer  Deploy plugin English Pack / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2015.08.19 10:49:19 INFO  o.s.s.p.PluginDeployer  Deploy plugin Checkstyle / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
2015.08.19 10:49:19 INFO  org.sonar.INFO  Install plugins done: 250 ms
2015.08.19 10:49:19 INFO  o.s.s.p.ApplicationDeployer  Deploy Ruby on Rails applications
2015.08.19 10:49:19 INFO  jruby.rack  jruby 1.6.8 (ruby-1.8.7-p357) (2012-09-18 1772b40) (Java HotSpot(TM) 64-Bit Server VM 1.8.0_25) [darwin-x86_64-java]
2015.08.19 10:49:19 INFO  jruby.rack  using a shared (threadsafe!) runtime
INFO   | jvm 1    | 2015/08/19 10:49:23 | JRuby limited openssl loaded. http://jruby.org/openssl
INFO   | jvm 1    | 2015/08/19 10:49:23 | gem install jruby-openssl for full support.
2015.08.19 10:49:27 INFO  o.s.s.d.m.DatabaseMigrator  Create database
2015.08.19 10:49:27 INFO  org.sonar.INFO  Start components...
2015.08.19 10:49:27 INFO  o.s.j.s.AbstractDatabaseConnector  Initializing Hibernate
2015.08.19 10:49:29 INFO  o.s.s.p.UpdateCenterClient  Update center: http://update.sonarsource.org/update-center.properties (no proxy)
2015.08.19 10:49:29 INFO  o.s.s.n.NotificationService  Notification service started (delay 60 sec.)
2015.08.19 10:49:29 INFO  org.sonar.INFO  Deploy GWT plugins...
2015.08.19 10:49:29 INFO  org.sonar.INFO  Deploy org.sonar.plugins.design.ui.libraries.LibrariesPage to /Users/eleven/Desktop/Gridworld/下载资料/sonar-3.7.4/war/sonar-server/deploy/gwt
2015.08.19 10:49:29 INFO  org.sonar.INFO  Deploy org.sonar.plugins.design.ui.page.DesignPage to /Users/eleven/Desktop/Gridworld/下载资料/sonar-3.7.4/war/sonar-server/deploy/gwt
2015.08.19 10:49:29 INFO  org.sonar.INFO  Deploy GWT plugins done: 41 ms
2015.08.19 10:49:29 INFO  org.sonar.INFO  Load metrics...
2015.08.19 10:49:30 INFO  o.s.s.s.RegisterMetrics  cleaning alert thresholds...
2015.08.19 10:49:30 INFO  org.sonar.INFO  Load metrics done: 856 ms
2015.08.19 10:49:30 INFO  org.sonar.INFO  Register rules [pmd/java]...
2015.08.19 10:49:30 INFO  org.sonar.INFO  Register rules [pmd/java] done: 450 ms
2015.08.19 10:49:30 INFO  org.sonar.INFO  Register rules [pmd-unit-tests/java]...
2015.08.19 10:49:30 INFO  org.sonar.INFO  Register rules [pmd-unit-tests/java] done: 22 ms
2015.08.19 10:49:30 INFO  org.sonar.INFO  Register rules [squid/java]...
2015.08.19 10:49:30 INFO  org.sonar.INFO  Register rules [squid/java] done: 139 ms
2015.08.19 10:49:30 INFO  org.sonar.INFO  Register rules [findbugs/java]...
2015.08.19 10:49:31 INFO  org.sonar.INFO  Register rules [findbugs/java] done: 959 ms
2015.08.19 10:49:31 INFO  org.sonar.INFO  Register rules [checkstyle/java]...
2015.08.19 10:49:32 INFO  org.sonar.INFO  Register rules [checkstyle/java] done: 538 ms
2015.08.19 10:49:32 INFO  org.sonar.INFO  Register rules [common-java/java]...
2015.08.19 10:49:32 INFO  org.sonar.INFO  Register rules [common-java/java] done: 4 ms
2015.08.19 10:49:32 INFO  o.s.s.s.RegisterRules  Removing deprecated rules
2015.08.19 10:49:32 INFO  o.s.s.s.RegisterNewProfiles  Register Quality Profiles...
2015.08.19 10:49:33 INFO  o.s.s.s.RegisterNewProfiles  Register java profile: Sonar way
2015.08.19 10:49:33 INFO  o.s.s.s.RegisterNewProfiles  Register java profile: Sonar way with Findbugs
2015.08.19 10:49:33 INFO  o.s.s.s.RegisterNewProfiles  Set default java profile: Sonar way
2015.08.19 10:49:33 INFO  o.s.s.s.RegisterNewProfiles  Register Quality Profiles done: 1792 ms
2015.08.19 10:49:34 INFO  o.s.s.s.RegisterQualityModels  Register Quality Models...
2015.08.19 10:49:34 INFO  o.s.s.s.RegisterQualityModels  Register Quality Models done: 1 ms
2015.08.19 10:49:34 INFO  o.s.s.s.RegisterNewMeasureFilters  Register measure filters...
2015.08.19 10:49:34 INFO  o.s.s.s.RegisterNewMeasureFilters  Register measure filter: Projects
2015.08.19 10:49:34 INFO  o.s.s.s.RegisterNewMeasureFilters  Register measure filter: My favourites
2015.08.19 10:49:34 INFO  o.s.s.s.RegisterNewMeasureFilters  Register measure filters done: 20 ms
2015.08.19 10:49:34 INFO  o.s.s.s.RegisterNewDashboards  Register dashboards...
2015.08.19 10:49:34 INFO  o.s.s.s.RegisterNewDashboards  Register dashboard: Dashboard
2015.08.19 10:49:34 INFO  o.s.s.s.RegisterNewDashboards  Register dashboard: Home
2015.08.19 10:49:34 INFO  o.s.s.s.RegisterNewDashboards  Register dashboard: Hotspots
2015.08.19 10:49:34 INFO  o.s.s.s.RegisterNewDashboards  Register dashboard: Issues
2015.08.19 10:49:34 INFO  o.s.s.s.RegisterNewDashboards  Register dashboard: TimeMachine
2015.08.19 10:49:34 INFO  o.s.s.s.RegisterNewDashboards  Register dashboards done: 104 ms
2015.08.19 10:49:34 INFO  o.s.s.s.RegisterPermissionTemplates  Register permission templates...
2015.08.19 10:49:34 INFO  o.s.s.s.RegisterPermissionTemplates  Set default permission template: default_template
2015.08.19 10:49:34 INFO  o.s.s.s.RegisterPermissionTemplates  Register permission templates done: 14 ms
2015.08.19 10:49:34 INFO  o.s.s.s.RenameDeprecatedPropertyKeys  Rename deprecated property keys
2015.08.19 10:49:34 INFO  org.sonar.INFO  Start components done: 6475 ms
INFO   | jvm 1    | 2015/08/19 10:49:34 | 2015-08-19 10:49:34.373:INFO:oejsh.ContextHandler:started o.e.j.w.WebAppContext{/,file:/Users/eleven/Desktop/Gridworld/%e4%b8%8b%e8%bd%bd%e8%b5%84%e6%96%99/sonar-3.7.4/war/sonar-server/},file:/Users/eleven/Desktop/Gridworld/%e4%b8%8b%e8%bd%bd%e8%b5%84%e6%96%99/sonar-3.7.4/war/sonar-server
INFO   | jvm 1    | 2015/08/19 10:49:34 | 2015-08-19 10:49:34.444:INFO:oejs.AbstractConnector:Started SelectChannelConnector@0.0.0.0:9000
STATUS | wrapper  | 2015/08/19 11:21:24 | TERM trapped.  Shutting down.
INFO   | jvm 1    | 2015/08/19 11:21:24 | 2015-08-19 11:21:24.932:INFO:oejs.Server:Graceful shutdown SelectChannelConnector@0.0.0.0:9000
INFO   | jvm 1    | 2015/08/19 11:21:24 | 2015-08-19 11:21:24.934:INFO:oejs.Server:Graceful shutdown o.e.j.w.WebAppContext{/,file:/Users/eleven/Desktop/Gridworld/%e4%b8%8b%e8%bd%bd%e8%b5%84%e6%96%99/sonar-3.7.4/war/sonar-server/},file:/Users/eleven/Desktop/Gridworld/%e4%b8%8b%e8%bd%bd%e8%b5%84%e6%96%99/sonar-3.7.4/war/sonar-server
2015.08.19 11:21:25 INFO  org.sonar.INFO  Stop sonar...
2015.08.19 11:21:25 INFO  o.s.s.n.NotificationService  Notification service stopped
2015.08.19 11:21:25 INFO  o.s.s.d.EmbeddedDatabase  Embedded database stopped
2015.08.19 11:21:25 INFO  org.sonar.INFO  Stop sonar done: 4 ms
INFO   | jvm 1    | 2015/08/19 11:21:25 | 2015-08-19 11:21:25.973:INFO:oejsh.ContextHandler:stopped o.e.j.w.WebAppContext{/,file:/Users/eleven/Desktop/Gridworld/%e4%b8%8b%e8%bd%bd%e8%b5%84%e6%96%99/sonar-3.7.4/war/sonar-server/},file:/Users/eleven/Desktop/Gridworld/%e4%b8%8b%e8%bd%bd%e8%b5%84%e6%96%99/sonar-3.7.4/war/sonar-server
STATUS | wrapper  | 2015/08/19 11:21:26 | <-- Wrapper Stopped
